,검색이름,유저,맥주이름,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
0,kloud,68931,Kloud Original Gravity,2.8,5,3,5,3,12
1,kloud,236424,Kloud Original Gravity,3.9,10,5,10,5,9
2,kloud,606,Kloud Original Gravity,2.4,6,3,4,2,9
3,kloud,151390,Kloud Original Gravity,2.3,4,3,4,3,9
4,kloud,334131,Kloud Original Gravity,1.0,1,1,1,1,6
5,kloud,541068,Kloud Original Gravity,4.0,9,5,7,4,15
6,kloud,223563,Kloud Original Gravity,2.0,3,3,4,3,7
7,kloud,236434,Kloud Original Gravity,3.0,6,3,6,3,12
8,kloud,86700,Kloud Original Gravity,2.9,5,4,4,4,12
9,kloud,53015,Kloud Original Gravity,2.2,4,2,5,2,9
10,kloud,21776,Kloud Original Gravity,2.3,4,3,4,3,9
11,kloud,100269,Kloud Original Gravity,3.2,6,5,6,4,11
12,kloud,383293,Kloud Original Gravity,2.3,4,3,4,3,9
13,kloud,82398,Kloud Original Gravity,2.4,5,2,5,2,10
15,kloud,22083,Kloud Original Gravity,2.7,5,3,6,3,10
16,kloud,522735,Kloud Original Gravity,2.2,4,2,4,2,10
18,kloud,527696,Kloud Original Gravity,2.0,4,2,4,2,8
19,kloud,58936,Kloud Original Gravity,2.9,5,3,6,3,12
20,kloud,528671,Kloud Original Gravity,2.5,5,2,5,3,10
21,kloud,50835,Kloud Original Gravity,2.7,7,3,5,3,9
22,kloud,342023,Kloud Original Gravity,2.7,5,3,5,3,11
23,kloud,10924,Kloud Original Gravity,2.4,4,3,5,3,9
24,kloud,396170,Kloud Original Gravity,1.5,4,3,2,2,4
25,kloud,40373,Kloud Original Gravity,2.9,6,4,6,3,10
27,kloud,3225,Kloud Original Gravity,3.1,5,3,7,4,12
28,kloud,162228,Kloud Original Gravity,2.6,5,3,5,3,10
29,kloud,88501,Kloud Original Gravity,2.0,4,2,4,2,8
30,kloud,128996,Kloud Original Gravity,2.4,5,2,6,3,8
31,kloud,275076,Kloud Original Gravity,3.1,6,3,6,3,13
32,kloud,418092,Kloud Original Gravity,2.0,5,3,4,2,6
33,kloud,498840,Kloud Original Gravity,2.2,4,4,6,3,5
34,kloud,80018,Kloud Original Gravity,2.8,4,3,5,3,13
35,kloud,111648,Kloud Original Gravity,1.7,3,3,3,2,6
36,kloud,313960,Kloud Original Gravity,1.8,3,3,4,2,6
37,kloud,361733,Kloud Original Gravity,1.8,2,3,2,3,8
38,kloud,55098,Kloud Original Gravity,2.3,5,3,4,2,9
39,kloud,570311,Kloud Original Gravity,0.5,1,1,1,1,1
40,kloud,370486,Kloud Original Gravity,3.0,6,3,6,3,12
41,kloud,10233,Kloud Original Gravity,1.6,3,2,3,2,6
42,kloud,366770,Kloud Original Gravity,2.2,5,3,4,3,7
43,kloud,38859,Kloud Original Gravity,2.4,5,3,5,2,9
45,kloud,91027,Kloud Original Gravity,1.7,3,2,4,2,6
46,kloud,273781,Kloud Original Gravity,1.9,3,4,3,2,7
47,kloud,15070,Kloud Original Gravity,2.1,4,3,4,3,7
48,kloud,358150,Kloud Original Gravity,2.2,4,2,5,2,9
49,kloud,128160,Kloud Original Gravity,0.9,1,2,2,1,3
50,kloud,170314,Kloud Original Gravity,1.8,3,3,3,3,6
51,kloud,202297,Kloud Original Gravity,2.3,5,2,5,2,9
52,kloud,224684,Kloud Original Gravity,2.2,4,3,5,2,8
53,kloud,111989,Kloud Original Gravity,1.7,3,2,3,2,7
54,kloud,327995,Kloud Original Gravity,2.6,6,4,5,3,8
55,kloud,169423,Kloud Original Gravity,2.8,5,4,5,2,12
56,kloud,62532,Kloud Original Gravity,2.7,5,3,5,2,12
57,kloud,412952,Kloud Original Gravity,2.1,4,3,4,3,7
58,kloud,230075,Kloud Original Gravity,1.6,2,2,3,2,7
59,kloud,92639,Kloud Original Gravity,2.4,4,2,5,3,10
60,kloud,130058,Kloud Original Gravity,2.8,5,3,6,2,12
61,kloud,83208,Kloud Original Gravity,1.3,2,2,2,2,5
62,kloud,323799,Kloud Original Gravity,2.4,4,3,4,3,10
63,kloud,350982,Kloud Original Gravity,2.6,4,3,4,2,13
64,kloud,195,Kloud Original Gravity,1.3,2,2,3,1,5
65,kloud,258264,Kloud Original Gravity,2.2,4,3,4,3,8
66,kloud,80641,Kloud Original Gravity,3.1,6,3,6,3,13
67,kloud,289413,Kloud Original Gravity,1.0,2,2,2,1,3
68,kloud,77831,Kloud Original Gravity,2.1,4,3,4,2,8
69,kloud,62195,Kloud Original Gravity,2.9,6,2,6,3,12
70,kloud,26851,Kloud Original Gravity,2.3,4,3,4,3,9
71,kloud,89099,Kloud Original Gravity,1.7,2,2,3,2,8
72,kloud,233863,Kloud Original Gravity,3.1,7,4,6,3,11
73,kloud,170041,Kloud Original Gravity,3.1,6,4,7,4,10
74,kloud,131219,Kloud Original Gravity,2.3,4,3,5,2,9
75,kloud,79688,Kloud Original Gravity,2.0,4,3,4,2,7
76,kloud,417272,Kloud Original Gravity,2.5,6,3,5,3,8
77,kloud,349016,Kloud Original Gravity,2.7,4,4,4,3,12
78,kloud,120679,Kloud Original Gravity,2.3,4,2,5,2,10
79,kloud,108216,Kloud Original Gravity,2.4,3,3,5,1,12
80,kloud,55258,Kloud Original Gravity,2.8,5,3,5,3,12
81,kloud,114361,Kloud Original Gravity,2.1,4,3,3,3,8
82,kloud,403582,Kloud Original Gravity,2.4,5,3,5,2,9
83,kloud,116260,Kloud Original Gravity,2.3,5,3,4,2,9
84,kloud,161927,Kloud Original Gravity,2.1,4,2,4,3,8
85,kloud,243248,Kloud Original Gravity,1.5,3,2,3,2,5
86,kloud,43796,Kloud Original Gravity,2.4,5,3,5,3,8
87,kloud,227834,Kloud Original Gravity,1.8,3,2,3,2,8
88,kloud,83106,Kloud Original Gravity,2.9,6,4,6,4,9
89,kloud,364257,Kloud Original Gravity,3.1,4,3,6,4,14
90,kloud,27227,Kloud Original Gravity,2.4,4,3,4,2,11
91,kloud,307072,Kloud Original Gravity,3.0,6,4,6,3,11
92,kloud,335738,Kloud Original Gravity,2.3,5,3,4,4,7
93,kloud,45829,Kloud Original Gravity,2.3,5,3,4,2,9
94,kloud,220012,Kloud Original Gravity,1.9,3,3,3,2,8
95,kloud,163528,Kloud Original Gravity,2.4,6,3,5,2,8
96,kloud,379770,Kloud Original Gravity,0.8,1,2,1,1,3
97,kloud,236410,Kloud Original Gravity,2.4,4,3,5,3,9
98,kloud,103771,Kloud Original Gravity,2.5,6,2,6,2,9
99,kloud,17962,Kloud Original Gravity,2.4,5,3,4,3,9
100,kloud,97827,Kloud Original Gravity,2.3,6,3,4,3,7
101,kloud,337037,Kloud Original Gravity,2.4,3,4,5,3,9
102,kloud,345340,Kloud Original Gravity,2.6,5,3,5,3,10
103,kloud,71778,Kloud Original Gravity,1.8,3,2,4,2,7
104,kloud,223385,Kloud Original Gravity,2.3,2,3,4,2,12
105,kloud,234475,Kloud Original Gravity,2.3,3,4,5,4,7
106,kloud,325830,Kloud Original Gravity,2.8,6,4,5,3,10
107,kloud,263176,Kloud Original Gravity,2.1,3,4,4,3,7
108,fitz super clear,726860,Kloud Fitz Super Clear,0.5,1,1,1,1,1
109,fitz super clear,418092,Kloud Fitz Super Clear,1.6,4,2,4,2,4
110,fitz super clear,80018,Kloud Fitz Super Clear,1.8,2,2,2,1,11
111,fitz super clear,195,Kloud Fitz Super Clear,1.7,3,2,2,2,8
112,fitz super clear,327995,Kloud Fitz Super Clear,1.5,3,2,2,2,6
113,fitz super clear,82398,Kloud Fitz Super Clear,2.2,4,2,5,2,9
114,fitz super clear,88501,Kloud Fitz Super Clear,1.1,2,1,2,1,5
115,fitz super clear,162228,Kloud Fitz Super Clear,2.5,5,3,5,3,9
117,fitz super clear,77831,Kloud Fitz Super Clear,2.1,4,2,5,2,8
118,fitz super clear,467541,Kloud Fitz Super Clear,1.5,3,2,1,2,7
119,fitz super clear,97827,Kloud Fitz Super Clear,2.1,3,4,3,2,9
120,fitz super clear,594058,Kloud Fitz Super Clear,5.0,10,5,10,5,20
121,fitz super clear,38926,Kloud Fitz Super Clear,1.5,3,2,3,2,5
122,fitz super clear,414959,Kloud Fitz Super Clear,2.0,4,2,4,2,8
123,fitz super clear,13929,Kloud Fitz Super Clear,2.4,5,3,4,3,9
124,fitz super clear,62195,Kloud Fitz Super Clear,1.8,5,2,3,2,6
125,fitz super clear,10233,Kloud Fitz Super Clear,1.6,3,2,3,2,6
126,fitz super clear,2778,Kloud Fitz Super Clear,0.7,1,1,1,2,2
127,fitz super clear,96172,Kloud Fitz Super Clear,1.5,4,2,3,1,5
128,fitz super clear,233863,Kloud Fitz Super Clear,2.4,7,3,4,2,8
129,fitz super clear,219922,Kloud Fitz Super Clear,0.5,1,1,1,1,1
130,fitz super clear,91027,Kloud Fitz Super Clear,1.5,3,2,3,2,5
131,fitz super clear,273781,Kloud Fitz Super Clear,2.4,5,3,5,2,9
132,fitz super clear,512965,Kloud Fitz Super Clear,4.7,8,5,10,4,20
133,fitz super clear,62532,Kloud Fitz Super Clear,2.2,4,3,4,2,9
134,fitz super clear,503200,Kloud Fitz Super Clear,0.8,1,3,1,1,2
136,Asahi super dry,391220,Asahi Super Dry,2.2,5,2,5,2,8
137,Asahi super dry,725012,Asahi Super Dry,3.1,5,3,6,3,14
138,Asahi super dry,394058,Asahi Super Dry,2.1,3,4,4,2,8
139,Asahi super dry,735505,Asahi Super Dry,2.7,5,3,5,2,12
140,Asahi super dry,331587,Asahi Super Dry,2.7,4,2,6,3,12
141,Asahi super dry,95181,Asahi Super Dry,2.7,4,3,6,2,12
142,Asahi super dry,594586,Asahi Super Dry,2.5,4,3,5,2,11
143,Asahi super dry,714085,Asahi Super Dry,1.3,2,1,2,2,6
145,Asahi super dry,53015,Asahi Super Dry,3.0,6,3,6,3,12
146,Asahi super dry,416440,Asahi Super Dry,2.4,4,2,4,3,11
147,Asahi super dry,703728,Asahi Super Dry,2.3,5,2,5,2,9
148,Asahi super dry,128996,Asahi Super Dry,2.2,5,2,6,2,7
149,Asahi super dry,730855,Asahi Super Dry,3.3,5,3,8,3,14
150,Asahi super dry,557594,Asahi Super Dry,1.8,3,4,2,4,5
152,Asahi super dry,731795,Asahi Super Dry,2.2,2,1,6,2,11
153,Asahi super dry,223563,Asahi Super Dry,1.4,3,2,3,1,5
154,Asahi super dry,720186,Asahi Super Dry,2.5,5,4,6,2,8
155,Asahi super dry,67182,Asahi Super Dry,2.6,3,4,5,3,11
157,Asahi super dry,344778,Asahi Super Dry,1.0,1,2,1,1,5
159,Asahi super dry,532485,Asahi Super Dry,2.9,5,3,6,4,11
161,Asahi super dry,506370,Asahi Super Dry,2.8,6,3,6,2,11
162,Asahi super dry,98732,Asahi Super Dry,3.6,5,5,6,5,15
163,Asahi super dry,512066,Asahi Super Dry,2.1,4,2,4,2,9
164,Asahi super dry,97698,Asahi Super Dry,2.3,5,2,4,2,10
165,Asahi super dry,728316,Asahi Super Dry,2.8,6,2,6,3,11
166,Asahi super dry,728016,Asahi Super Dry,2.3,3,3,4,2,11
167,Asahi super dry,579674,Asahi Super Dry,2.4,5,3,4,2,10
168,Asahi super dry,166683,Asahi Super Dry,2.6,5,3,5,2,11
169,Asahi super dry,401673,Asahi Super Dry,3.4,6,4,7,3,14
171,Asahi super dry,391275,Asahi Super Dry,2.4,5,3,5,2,9
172,Asahi super dry,592479,Asahi Super Dry,2.0,4,2,4,2,8
173,Asahi super dry,709327,Asahi Super Dry,2.9,4,5,5,2,13
174,Asahi super dry,382521,Asahi Super Dry,2.5,5,2,5,2,11
175,Asahi super dry,453251,Asahi Super Dry,2.2,4,4,4,2,8
176,Asahi super dry,459754,Asahi Super Dry,1.6,2,4,3,3,4
178,Asahi super dry,645426,Asahi Super Dry,2.4,3,3,3,1,14
179,Asahi super dry,673311,Asahi Super Dry,2.5,5,2,6,2,10
180,Asahi super dry,718300,Asahi Super Dry,1.8,4,2,4,2,6
181,Asahi super dry,4311,Asahi Super Dry,2.5,5,3,5,2,10
182,Asahi super dry,715424,Asahi Super Dry,2.3,4,3,4,2,10
183,Asahi super dry,705357,Asahi Super Dry,2.8,6,3,6,3,10
184,Asahi super dry,603072,Asahi Super Dry,2.3,5,3,4,3,8
185,Asahi super dry,647390,Asahi Super Dry,2.5,5,3,5,3,9
186,Asahi super dry,565459,Asahi Super Dry,1.6,4,3,3,2,4
188,Asahi super dry,497197,Asahi Super Dry,2.0,4,1,5,2,8
189,Asahi super dry,227874,Asahi Super Dry,2.2,4,2,4,2,10
191,Asahi super dry,435044,Asahi Super Dry,2.4,5,2,4,2,11
192,Asahi super dry,708854,Asahi Super Dry,2.0,3,2,4,2,9
193,Asahi super dry,83890,Asahi Super Dry,2.6,5,3,5,3,10
194,Asahi super dry,699640,Asahi Super Dry,3.5,7,4,7,4,13
195,Asahi super dry,702327,Asahi Super Dry,3.0,6,3,6,3,12
196,Asahi super dry,393673,Asahi Super Dry,3.1,6,3,6,4,12
197,Asahi super dry,414030,Asahi Super Dry,2.3,4,3,5,2,9
198,Asahi super dry,704968,Asahi Super Dry,3.2,6,3,6,3,14
199,Asahi super dry,430408,Asahi Super Dry,3.1,5,4,6,4,12
200,Asahi super dry,580136,Asahi Super Dry,2.9,5,3,6,3,12
201,Asahi super dry,703278,Asahi Super Dry,3.0,6,3,6,3,12
202,Asahi super dry,223509,Asahi Super Dry,1.1,2,1,3,1,4
203,Asahi super dry,32383,Asahi Super Dry,2.0,4,3,4,3,6
204,Asahi super dry,87088,Asahi Super Dry,2.2,4,2,5,2,9
206,Asahi super dry,567882,Asahi Super Dry,2.6,5,3,6,2,10
208,Asahi super dry,19603,Asahi Super Dry,0.9,1,1,2,1,4
209,Asahi super dry,39179,Asahi Super Dry,1.6,3,2,4,2,5
210,Asahi super dry,701749,Asahi Super Dry,1.9,3,2,4,2,8
211,Asahi super dry,668063,Asahi Super Dry,2.7,2,3,6,3,13
212,Asahi super dry,696899,Asahi Super Dry,3.4,6,3,7,3,15
213,Asahi super dry,700796,Asahi Super Dry,1.9,4,2,4,2,7
217,Asahi super dry,586807,Asahi Super Dry,2.3,5,2,5,3,8
219,Asahi super dry,518394,Asahi Super Dry,1.8,4,2,4,2,6
220,Asahi super dry,573633,Asahi Super Dry,2.5,6,3,4,4,8
221,Asahi super dry,693649,Asahi Super Dry,3.9,8,4,8,3,16
222,Asahi super dry,111135,Asahi Super Dry,0.7,1,1,1,1,3
224,Asahi super dry,660735,Asahi Super Dry,3.9,7,4,7,4,17
225,Asahi super dry,357664,Asahi Super Dry,2.7,5,3,5,3,11
226,Asahi super dry,681662,Asahi Super Dry,3.8,8,4,8,4,14
227,Asahi super dry,372101,Asahi Super Dry,1.7,4,1,3,2,7
229,Asahi super dry,443677,Asahi Super Dry,3.7,5,4,8,4,16
230,Asahi super dry,653520,Asahi Super Dry,1.7,2,1,5,2,7
231,Asahi super dry,389031,Asahi Super Dry,2.0,3,5,3,4,5
232,Asahi super dry,427319,Asahi Super Dry,1.8,4,2,4,2,6
233,Asahi super dry,399835,Asahi Super Dry,2.5,5,2,5,3,10
234,Asahi super dry,664745,Asahi Super Dry,3.5,6,5,7,4,13
235,Asahi super dry,664655,Asahi Super Dry,0.9,2,2,1,2,2
236,Asahi super dry,539856,Asahi Super Dry,1.9,4,2,4,3,6
237,Asahi super dry,649481,Asahi Super Dry,1.7,3,3,3,1,7
238,Asahi super dry,448191,Asahi Super Dry,2.1,3,2,5,2,9
239,Asahi super dry,647027,Asahi Super Dry,2.7,5,3,6,3,10
241,Asahi super dry,497648,Asahi Super Dry,2.3,5,2,5,2,9
242,Asahi super dry,477019,Asahi Super Dry,2.5,4,2,6,2,11
243,Asahi super dry,640960,Asahi Super Dry,0.8,2,1,2,1,2
244,Asahi super dry,327682,Asahi Super Dry,3.0,7,3,7,2,11
245,Asahi super dry,591321,Asahi Super Dry,2.5,5,2,5,3,10
247,Asahi super dry,413229,Asahi Super Dry,2.2,5,2,5,2,8
248,Asahi super dry,569903,Asahi Super Dry,1.7,3,3,4,2,5
249,Asahi super dry,634386,Asahi Super Dry,2.0,4,5,3,3,5
250,Asahi super dry,322669,Asahi Super Dry,2.5,5,2,5,2,11
251,Asahi super dry,547755,Asahi Super Dry,2.2,6,2,5,3,6
253,Asahi super dry,104742,Asahi Super Dry,3.1,6,4,6,4,11
